id,label
0,0
1,0
2,1
3,0
4,3
5,0
6,0
7,1
8,3
9,3
10,1
11,3
12,0
13,3
14,0
15,1
16,3
17,3
18,3
19,0
20,4
21,1
22,3
23,1
24,1
25,0
26,0
27,0
28,0
29,3
30,1
31,2
32,0
33,3
34,2
35,1
36,2
37,0
38,3
39,0
40,3
41,3
42,2
43,0
44,0
45,3
46,3
47,3
48,3
49,0
50,2
51,3
52,1
53,1
54,0
55,3
56,3
57,3
58,3
59,1
60,0
61,3
62,1
63,1
64,3
65,1
66,0
67,1
68,3
69,3
70,3
71,1
72,3
73,3
74,0
75,0
76,1
77,2
78,3
79,1
80,0
81,3
82,0
83,0
84,3
85,0
86,0
87,3
88,2
89,1
90,0
91,1
92,0
93,3
94,1
95,2
96,3
97,0
98,1
99,0
100,0
101,0
102,0
103,1
104,0
105,3
106,1
107,0
108,0
109,1
110,3
111,3
112,0
113,3
114,3
115,0
116,1
117,1
118,2
119,1
120,3
121,1
122,3
123,1
124,0
125,1
126,4
127,1
128,0
129,3
130,3
131,0
132,0
133,3
134,0
135,3
136,3
137,0
138,0
139,1
140,3
141,3
142,1
143,1
144,3
145,3
146,3
147,1
148,0
149,0
150,3
151,0
152,1
153,0
154,3
155,3
156,1
157,3
158,3
159,1
160,0
161,0
162,0
163,3
164,0
165,0
166,1
167,1
168,1
169,3
170,1
171,4
172,1
173,0
174,3
175,1
176,1
177,1
178,3
179,0
180,0
181,4
182,3
183,0
184,1
185,0
186,1
187,3
188,1
189,0
190,0
191,3
192,0
193,1
194,3
195,0
196,1
197,1
198,1
199,0
200,0
201,1
202,3
203,0
204,0
205,0
206,1
207,0
208,0
209,3
210,3
211,1
212,0
213,0
214,3
215,0
216,2
217,3
218,0
219,1
220,3
221,1
222,2
223,0
224,1
225,0
226,0
227,0
228,0
229,3
230,3
231,1
232,0
233,3
234,1
235,1
236,1
237,0
238,1
239,0
240,3
241,0
242,0
243,3
244,1
245,0
246,0
247,0
248,1
249,1
250,3
251,1
252,3
253,3
254,0
255,2
256,1
257,3
258,0
259,3
260,1
261,3
262,1
263,1
264,3
265,3
266,1
267,1
268,3
269,1
270,3
271,0
272,0
273,3
274,2
275,1
276,0
277,1
278,1
279,0
280,1
281,3
282,1
283,1
284,3
285,1
286,3
287,3
288,3
289,1
290,1
291,3
292,3
293,3
294,3
295,1
296,0
297,3
298,1
299,2
300,0
301,0
302,0
303,1
304,3
305,1
306,0
307,0
308,2
309,3
310,1
311,0
312,0
313,2
314,3
315,0
316,3
317,1
318,1
319,1
320,1
321,0
322,1
323,3
324,3
325,0
326,0
327,3
328,0
329,3
330,3
331,1
332,1
333,1
334,0
335,4
336,2
337,1
338,0
339,3
340,3
341,1
342,1
343,0
344,2
345,3
346,0
347,1
348,3
349,0
350,1
351,0
352,3
353,1
354,0
355,4
356,2
357,1
358,2
359,1
360,1
361,1
362,1
363,1
364,1
365,3
366,0
367,1
368,3
369,0
370,3
371,1
372,3
373,0
374,3
375,1
376,1
377,3
378,0
379,3
380,0
381,1
382,0
383,3
384,0
385,1
386,3
387,3
388,2
389,2
390,3
391,0
392,0
393,3
394,1
395,3
396,3
397,1
398,0
399,0
400,0
401,0
402,1
403,3
404,1
405,1
406,1
407,1
408,1
409,3
410,1
411,0
412,3
413,1
414,3
415,2
416,1
417,0
418,0
419,2
420,1
421,1
422,1
423,1
424,1
425,0
426,3
427,3
428,0
429,1
430,0
431,1
432,0
433,1
434,3
435,1
436,4
437,3
438,3
439,1
440,3
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,0
450,1
451,3
452,1
453,3
454,1
455,3
456,3
457,0
458,0
459,1
460,0
461,3
462,3
463,1
464,0
465,3
466,3
467,3
468,2
469,1
470,3
471,3
472,0
473,1
474,0
475,1
476,3
477,0
478,0
479,1
480,2
481,1
482,0
483,0
484,1
485,1
486,0
487,1
488,1
489,1
490,3
491,0
492,1
493,3
494,0
495,1
496,2
497,1
498,3
499,1
500,3
501,0
502,3
503,3
504,1
505,0
506,1
507,3
508,3
509,3
510,0
511,1
512,1
513,0
514,3
515,3
516,0
517,3
518,3
519,2
520,1
521,0
522,0
523,3
524,0
525,0
526,0
527,0
528,3
529,1
530,0
531,1
532,1
